J05AF060510	Abacavir--Tableta recubierta-300 mg
G01AX05	NULL
G01AX06	NULL
G01AX09	NULL
G01AX11	NULL
G01AX12	NULL
G01AX13	NULL
G01AX14	NULL
G01AX15	NULL
G01AX66	NULL
G02AB02	NULL
G02AB03	NULL
G02AC01	NULL
G02AD01	NULL
G02AD02	NULL
G02AD03	NULL
G02AD04	NULL
G02AD05	NULL
G02BA01	NULL
G02BA02	NULL
G02BA03	NULL
G02BB01	NULL
G02CA01	NULL
G02CA02	NULL
G02CB01	NULL
G02CB02	NULL
G02CB03	NULL
G02CB04	NULL
G02CB05	NULL
G02CC01	NULL
G02CC02	NULL
G02CC03	NULL
G02CC04	NULL
G02CX01	NULL
G03AA01	NULL
G03AA02	NULL
G03AA03	NULL
G03AA04	NULL
G03AA06	NULL
G03AA08	NULL
G03AA09	NULL
G03AA10	NULL
G03AA11	NULL
G03AA12	NULL
G03AA13	NULL
G03AB01	NULL
G03AB02	NULL
G03AB03	NULL
G03AB04	NULL
G03AB05	NULL
G03AB06	NULL
G03AB07	NULL
G03AC01	NULL
G03AC02	NULL
G03AC04	NULL
G03AC05	NULL
G03AC06	NULL
G03AC07	NULL
G03AC08	NULL
G03AC09	NULL
G03BA01	NULL
G03BA02	NULL
G03BB01	NULL
G03BB02	NULL
G03CA01	NULL
G03CA06	NULL
G03CA07	NULL
G03CA09	NULL
G03CA53	NULL
G03CA57	NULL
G03CB01	NULL
G03CB02	NULL
G03CB03	NULL
G03CB04	NULL
G03CC02	NULL
G03CC03	NULL
G03CC04	NULL
G03CC05	NULL
G03CC06	NULL
G03DA01	NULL
G03DA02	NULL
G03DA03	NULL
G03DB01	NULL
G03DB02	NULL
G03DB03	NULL
G03DB04	NULL
G03DB05	NULL
G03DB06	NULL
G03DB07	NULL
G03DC01	NULL
G03DC02	NULL
G03DC03	NULL
G03DC04	NULL
G03DC05	NULL
G03DC06	NULL
G03DC31	NULL
G03EA01	NULL
G03EA02	NULL
G03EA03	NULL
G03EK01	NULL
G03FA02	NULL
G03FA03	NULL
G03FA04	NULL
G03FA05	NULL
G03FA06	NULL
G03FA07	NULL
G03FA08	NULL
G03FA09	NULL
G03FA10	NULL
G03FA11	NULL
G03FA13	NULL
G03FA14	NULL
G03FA15	NULL
G03FA16	NULL
G03FA17	NULL
G03FB01	NULL
G03FB02	NULL
G03FB03	NULL
G03FB04	NULL
G03FB05	NULL
G03FB06	NULL
G03FB07	NULL
G03FB08	NULL
G03FB09	NULL
G03FB10	NULL
G03FB11	NULL
G03GA01	NULL
G03GA02	NULL
G03GA03	NULL
G03GA04	NULL
G03GA05	NULL
G03GA06	NULL
G03GA07	NULL
G03GA08	NULL
G03GB01	NULL
G03GB03	NULL
G03HA01	NULL
G03HB01	NULL
G03XA02	NULL
G03XB01	NULL
G03XC01	NULL
G04BA01	NULL
G04BA03	NULL
G04BD01	NULL
G04BD02	NULL
G04BD03	NULL
G04BD04	NULL
G04BD05	NULL
G04BD06	NULL
G04BD07	NULL
G04BD08	NULL
G04BD09	NULL
G04BD10	NULL
G04BE01	NULL
G04BE02	NULL
G04BE03	NULL
G04BE04	NULL
G04BE05	NULL
G04BE06	NULL
G04BE07	NULL
G04BE08	NULL
G04BE09	NULL
G04BE30	NULL
G04BE52	NULL
G04BX01	NULL
G04BX03	NULL
G04BX06	NULL
G04BX10	NULL
G04BX11	NULL
G04BX12	NULL
G04BX13	NULL
G04CA01	NULL
G04CA03	NULL
G04CB01	NULL
G04CB02	NULL
G04CX01	NULL
G04CX02	NULL
G04CX03	NULL
H01AA01	NULL
H01AA02	NULL
H01AB01	NULL
H01AC02	NULL
H01AC03	NULL
H01AC04	NULL
H01AX01	NULL
H01BA03	NULL
H01BA04	NULL
H01BA05	NULL
H01BA06	NULL
H01BB01	NULL
H01BB03	NULL
H01CA01	NULL
H01CA02	NULL
H01CA03	NULL
H01CB01	NULL
H01CB03	NULL
H01CC01	NULL
H01CC02	NULL
H02AA01	NULL
H02AA02	NULL
H02AA03	NULL
H02AB03	NULL
H02AB05	NULL
H02AB08	NULL
H02AB10	NULL
H02AB11	NULL
H02AB12	NULL
H02AB13	NULL
H02AB14	NULL
H02AB15	NULL
H02AB17	NULL
H02BX01	NULL
H02CA01	NULL
H03AA02	NULL
H03AA03	NULL
H03AA04	NULL
H03AA05	NULL
H03BA01	NULL
H03BA03	NULL
H03BB01	NULL
H03BB52	NULL
H03BC01	NULL
H03BX01	NULL
H03BX02	NULL
H05AA01	NULL
H05AA02	NULL
H05AA03	NULL
H05BA01	NULL
H05BA02	NULL
H05BA03	NULL
H05BA04	NULL
H05BX01	NULL
J01AA01	NULL
J01AA03	NULL
J01AA04	NULL
J01AA05	NULL
J01AA06	NULL
J01AA07	NULL
J01AA08	NULL
J01AA09	NULL
J01AA10	NULL
J01AA11	NULL
J01AA20	NULL
J01AA56	NULL
J01AA57	NULL
J01BA01	NULL
J01BA02	NULL
J01BA51	NULL
J01BA52	NULL
J01CA02	NULL
J01CA03	NULL
J01CA05	NULL
J01CA06	NULL
J01CA07	NULL
J01CA08	NULL
J01CA09	NULL
J01CA10	NULL
J01CA11	NULL
J01CA12	NULL
J01CA13	NULL
J01CA14	NULL
J01CA15	NULL
J01CA16	NULL
J01CA17	NULL
J01CA18	NULL
J01CA19	NULL
J01CA20	NULL
J01CA51	NULL
J01CE02	NULL
J01CE03	NULL
J01CE04	NULL
J01CE05	NULL
J01CE06	NULL
J01CE07	NULL
J01CE09	NULL
J01CE10	NULL
J01CE11	NULL
J01CE30	NULL
J01CE52	NULL
J01CF02	NULL
J01CF03	NULL
J01CF05	NULL
J01CG01	NULL
J01CG02	NULL
J01CR03	NULL
J01CR04	NULL
J01CR50	NULL
J01DB01	Cefalexina
\n---
J01DB02	NULL
J01DB03	NULL
J01DB05	NULL
J01DB06	NULL
J01DB07	NULL
J01DB08	NULL
J01DB09	NULL
J01DB10	NULL
J01DB11	NULL
J01DB12	NULL
J01DC01	NULL
J01DC02	NULL
J01DC03	NULL
J01DC04	NULL
J01DC05	NULL
J01DC06	NULL
J01DC07	NULL
J01DC08	NULL
J01DC09	NULL
J01DC10	NULL
J01DC11	NULL
J01DC12	NULL
J01DC13	NULL
J01DC14	NULL
J01DD01	Cefotaxime
\n---
J01DD03	NULL
J01DD05	NULL
J01DD06	NULL
J01DD07	NULL
J01DD08	NULL
J01DD09	NULL
J01DD10	NULL
J01DD11	NULL
J01DD12	NULL
J01DD13	NULL
J01DD14	NULL
J01DD15	NULL
J01DD16	NULL
J01DD17	NULL
J01DD54	NULL
J01DD62	NULL
J01DE02	NULL
J01DE03	NULL
J01DF01	NULL
J01DF02	NULL
J01DH03	NULL
J01DH04	NULL
J01DH05	NULL
J01DH55	NULL
J01DI01	NULL
J01DI02	NULL
J01EA01	NULL
J01EA02	NULL
J01EA03	NULL
J01EB01	NULL
J01EB02	NULL
J01EB03	NULL
J01EB04	NULL
J01EB05	NULL
J01EB06	NULL
J01EB07	NULL
J01EB08	NULL
J01EB09	NULL
J01EB11	NULL
J01EB20	NULL
J01EB59	NULL
J01EB70	NULL
J01EC01	NULL
J01EC02	NULL
J01EC03	NULL
J01EC20	NULL
J01EC52	NULL
J01ED01	NULL
J01ED02	NULL
J01ED03	NULL
J01ED04	NULL
J01ED05	NULL
J01ED06	NULL
J01ED07	NULL
J01ED08	NULL
J01ED09	NULL
J01ED11	NULL
J01ED20	NULL
J01EE02	NULL
J01EE03	NULL
J01EE04	NULL
J01EE05	NULL
J01EE06	NULL
J01EE07	NULL
J01EE51	NULL
J01FA02	NULL
J01FA03	NULL
J01FA05	NULL
J01FA06	NULL
J01FA07	NULL
J01FA08	NULL
J01FA11	NULL
J01FA12	NULL
J01FA13	NULL
J01FA14	NULL
J01FA15	NULL
J01FA16	NULL
J01FF02	NULL
J01FG01	NULL
J01FG02	NULL
J01GA02	NULL
J01GB01	NULL
J01GB04	NULL
J01GB05	NULL
J01GB07	NULL
J01GB08	NULL
J01GB09	NULL
J01GB10	NULL
J01GB11	NULL
J01GB12	NULL
J01GB13	NULL
J01GB53	NULL
J01GB55	NULL
J01GB64	NULL
J01MA01	NULL
J01MA03	NULL
J01MA04	NULL
J01MA05	NULL
J01MA06	NULL
J01MA07	NULL
J01MA08	NULL
J01MA09	NULL
J01MA10	NULL
J01MA11	NULL
J01MA13	NULL
J01MA15	NULL
J01MA16	NULL
J01MA17	NULL
J01MA18	NULL
J01MA19	NULL
J01MA21	NULL
J01MB01	NULL
J01MB02	NULL
J01MB03	NULL
J01MB04	NULL
J01MB05	NULL
J01MB06	NULL
J01MB07	NULL
J01RA01	NULL
J01RA02	NULL
J01RA03	NULL
J01RA04	NULL
J01XA02	NULL
J01XA03	NULL
J01XA04	NULL
J01XA05	NULL
J01XB01	NULL
J01XB02	NULL
J01XC01	NULL
J01XD02	NULL
J01XD03	NULL
J01XE02	NULL
J01XE51	NULL
J01XX01	NULL
J01XX02	NULL
J01XX03	NULL
J01XX04	NULL
J01XX05	NULL
J01XX06	NULL
J01XX07	NULL
J01XX09	NULL
J01XX10	NULL
J01XX55	NULL
J02AA02	NULL
J02AB01	NULL
J02AB02	NULL
J02AC03	NULL
J02AC04	NULL
J02AX01	NULL
J02AX05	NULL
J02AX06	NULL
J04AA02	NULL
J04AA03	NULL
J04AB03	NULL
J04AB04	NULL
J04AB05	NULL
J04AC51	NULL
J04AD01	NULL
J04AD02	NULL
J04AK03	NULL
J04AK04	NULL
J04AM01	NULL
J04AM04	NULL
J04AM07	NULL
J04BA03	NULL
J05AA01	NULL
J05AB02	NULL
J05AB03	NULL
J05AB04	NULL
J05AB06	NULL
J05AB09	NULL
J05AB11	NULL
J05AB12	NULL
J05AB13	NULL
J05AB15	NULL
J05AC02	NULL
J05AC03	NULL
J05AC04	NULL
J05AD01	NULL
J05AD02	NULL
J05AE02	NULL
J05AE04	NULL
J05AE05	NULL
J05AE07	NULL
J05AE08	NULL
J05AE09	NULL
J05AE11	NULL
J05AE12	NULL
J05AF03	NULL
J05AF04	NULL
J05AF08	NULL
J05AF10	NULL
J05AF11	NULL
J05AF12	NULL
J05AG02	NULL
J05AG04	NULL
J05AG05	NULL
J05AH01	NULL
J05AR04	NULL
J05AR05	NULL
J05AR08	NULL
J05AR10	NULL
J05AX01	NULL
J05AX02	NULL
J05AX05	NULL
J05AX06	NULL
J05AX07	NULL
J05AX09	NULL
J05AX10	NULL
J05AX51	NULL
J06AA04	NULL
J06AA05	NULL
J06AA06	NULL
J06BA01	NULL
J06BB03	NULL
J06BB04	NULL
J06BB06	NULL
J06BB07	NULL
J06BB08	NULL
J06BB09	NULL
J06BB10	NULL
J06BB11	NULL
J06BB12	NULL
J06BB13	NULL
J06BB14	NULL
J06BB15	NULL
J06BB16	NULL
J06BB17	NULL
J06BB30	NULL
J06BC01	NULL
J06BC10	NULL
J07AC01	NULL
J07AD01	NULL
J07AE01	NULL
J07AE02	NULL
J07AE51	NULL
J07AF01	NULL
J07AG01	NULL
J07AG51	NULL
J07AG52	NULL
J07AG53	NULL
J07AH01	NULL
J07AH02	NULL
J07AH03	NULL
J07AH04	NULL
J07AH05	NULL
J07AH06	NULL
J07AH07	NULL
J07AH08	NULL
J07AH09	NULL
J07AJ01	NULL
J07AJ02	NULL
J07AJ51	NULL
J07AK01	NULL
J07AL01	NULL
J07AL02	NULL
J07AL52	NULL
J07AM52	NULL
J07AP01	NULL
J07AP02	NULL
J07AP03	NULL
J07AP10	NULL
J07AR01	NULL
J07AX01	NULL
J07AX52	NULL
J07AX53	NULL
J07BA01	NULL
J07BA02	NULL
J07BB01	NULL
J07BB02	NULL
J07BB03	NULL
J07BC02	NULL
J07BC03	NULL
J07BC20	NULL
J07BD01	NULL
J07BD51	NULL
J07BD53	NULL
J07BD54	NULL
J07BE01	NULL
J07BF01	NULL
J07BF03	NULL
J07BH02	NULL
J07BJ01	NULL
J07BJ51	NULL
J07BK02	NULL
J07BM01	NULL
J07BM02	NULL
J07BX02	NULL
J07CA01	NULL
J07CA02	NULL
J07CA03	NULL
J07CA04	NULL
J07CA05	NULL
J07CA06	NULL
J07CA07	NULL
J07CA08	NULL
J07CA09	NULL
J07CA10	NULL
J07CA12	NULL
J07CA13	NULL
L01AA05	NULL
L01AA07	NULL
L01AA08	NULL
L01AB01	NULL
L01AB02	NULL
L01AB03	NULL
L01AC01	NULL
L01AC02	NULL
L01AC03	NULL
L01AD01	NULL
L01AD02	NULL
L01AD03	NULL
L01AD04	NULL
L01AD05	NULL
L01AD06	NULL
L01AD07	NULL
L01AG01	NULL
L01AX01	NULL
L01AX02	NULL
L01BA03	NULL
L01BB04	NULL
L01BB06	NULL
L01BB07	NULL
L01BC03	NULL
L01BC04	NULL
L01BC52	NULL
L01BC53	NULL
L01CA03	NULL
L01CA04	NULL
L01CB02	NULL
L01CC01	NULL
L01DB04	NULL
L01DB05	NULL
L01DB08	NULL
L01DB09	NULL
L01DC02	NULL
L01DC04	NULL
L01XC01	NULL
L01XC04	NULL
L01XC05	NULL
L01XC08	NULL
L01XD01	NULL
L01XD03	NULL
L01XD04	NULL
L01XD05	NULL
L01XD06	NULL
L01XE02	NULL
L01XE05	NULL
L01XE06	NULL
L01XE08	NULL
L01XE09	NULL
L01XE22	NULL
QL01XE9	NULL
L01XX01	NULL
L01XX03	NULL
L01XX07	NULL
L01XX08	NULL
L01XX09	NULL
L01XX10	NULL
L01XX11	NULL
L01XX14	NULL
L01XX16	NULL
L01XX17	NULL
L01XX18	NULL
L01XX22	NULL
L01XX23	NULL
L01XX24	NULL
L01XX25	NULL
L01XX27	NULL
L01XX29	NULL
L01XX33	NULL
L01XX35	NULL
L01XX36	NULL
L01XX37	NULL
L02AA01	NULL
L02AA02	NULL
L02AA03	NULL
L02AA04	NULL
L02AB01	NULL
L02AB02	NULL
L02AB03	NULL
L02AE01	NULL
L02AE03	NULL
L02AE04	NULL
L02BA02	NULL
L02BA03	NULL
L02BB02	NULL
L02BB03	NULL
L02BG01	NULL
L02BG02	NULL
L02BG03	NULL
L02BG05	NULL
L02BX01	NULL
L03AB01	NULL
L03AB02	NULL
L03AB03	NULL
L03AB04	NULL
L03AB06	NULL
L03AB09	NULL
L03AB10	NULL
L03AB11	NULL
L03AB60	NULL
L03AC02	NULL
L03AX01	NULL
L03AX02	NULL
L03AX03	NULL
L03AX04	NULL
L03AX05	NULL
L03AX07	NULL
L03AX08	NULL
L03AX09	NULL
L03AX10	NULL
L03AX11	NULL
L03AX12	NULL
L03AX13	NULL
L03AX14	NULL
L03AX15	NULL
L04AA02	NULL
L04AA03	NULL
L04AA13	NULL
L04AA15	NULL
L04AA19	NULL
L04AA21	NULL
L04AA22	NULL
L04AA23	NULL
L04AA24	NULL
L04AA25	NULL
L04AB03	NULL
L04AB05	NULL
L04AC01	NULL
L04AC03	NULL
L04AX03	NULL
L04AX04	NULL
M01AA01	NULL
M01AA02	NULL
M01AA03	NULL
M01AA05	NULL
M01AA06	NULL
M01AB01	NULL
M01AB02	NULL
M01AB03	NULL
M01AB04	NULL
M01AB06	NULL
M01AB07	NULL
M01AB08	NULL
M01AB09	NULL
M01AB10	NULL
M01AB11	NULL
M01AB12	NULL
M01AB13	NULL
M01AB14	NULL
M01AB16	NULL
M01AB17	NULL
M01AB51	NULL
M01AB55	NULL
M01AC01	NULL
M01AC02	NULL
M01AC04	NULL
M01AC05	NULL
M01AC06	NULL
M01AE03	NULL
M01AE04	NULL
M01AE05	NULL
M01AE06	NULL
M01AE07	NULL
M01AE08	NULL
M01AE09	NULL
M01AE10	NULL
M01AE11	NULL
M01AE12	NULL
M01AE13	NULL
M01AE14	NULL
M01AE15	NULL
M01AE16	NULL
M01AE17	NULL
M01AE51	NULL
M01AE53	NULL
M01AG01	NULL
M01AG03	NULL
M01AG04	NULL
M01AH01	NULL
M01AH02	NULL
M01AH03	NULL
M01AH04	NULL
M01AH05	NULL
M01AH06	NULL
M01AX01	NULL
M01AX02	NULL
M01AX04	NULL
M01AX05	NULL
M01AX07	NULL
M01AX12	NULL
M01AX13	NULL
M01AX14	NULL
M01AX17	NULL
M01AX18	NULL
M01AX21	NULL
M01AX22	NULL
M01AX23	NULL
M01BA01	NULL
M01BA02	NULL
M01BA03	NULL
M01CA03	NULL
M01CB01	NULL
M01CB02	NULL
M01CB03	NULL
M01CB04	NULL
M01CB05	NULL
M01CC01	NULL
M01CC02	NULL
M02AA01	NULL
M02AA02	NULL
M02AA03	NULL
M02AA04	NULL
M02AA05	NULL
M02AA06	NULL
M02AA07	NULL
M02AA08	NULL
M02AA09	NULL
M02AA10	NULL
M02AA11	NULL
M02AA12	NULL
M02AA13	NULL
M02AA14	NULL
M02AA15	NULL
M02AA16	NULL
M02AA17	NULL
M02AA18	NULL
M02AA19	NULL
M02AA21	NULL
M02AA22	NULL
M02AA23	NULL
M02AA24	NULL
M02AA25	NULL
M02AX02	NULL
M02AX03	NULL
M02AX10	NULL
M03AA01	NULL
M03AA02	NULL
M03AA04	NULL
M03AC02	NULL
M03AC03	NULL
M03AC04	NULL
M03AC05	NULL
M03AC06	NULL
M03AC07	NULL
M03AC08	NULL
M03AC10	NULL
M03AC11	NULL
M03AX01	NULL
M03BA01	NULL
M03BA02	NULL
M03BA03	NULL
M03BA04	NULL
M03BA05	NULL
M03BA51	NULL
M03BA52	NULL
M03BA53	NULL
M03BA71	NULL
M03BA72	NULL
M03BA73	NULL
M03BB02	NULL
M03BB03	NULL
M03BB52	NULL
M03BB53	NULL
M03BB72	NULL
M03BB73	NULL
M03BC01	NULL
M03BC51	NULL
M03BX01	NULL
M03BX02	NULL
M03BX03	NULL
M03BX04	NULL
M03BX05	NULL
M03BX06	NULL
M03BX07	NULL
M03BX30	NULL
M03CA01	NULL
M04AA02	NULL
M04AA03	NULL
M04AA51	NULL
M04AB01	NULL
M04AB02	NULL
M04AB03	NULL
M04AB04	NULL
M04AC02	NULL
M04AX01	NULL
M05BA01	NULL
M05BA02	NULL
M05BA03	NULL
M05BA05	NULL
M05BA07	NULL
M05BB01	NULL
M05BB02	NULL
M05BB03	NULL
M05BB04	NULL
M05BC01	NULL
M05BC02	NULL
M05BX01	NULL
M05BX02	NULL
M05BX03	NULL
M09AA01	NULL
M09AA72	NULL
M09AB01	NULL
M09AB52	NULL
M09AX01	NULL
N01AA01	NULL
N01AA02	NULL
N01AB01	NULL
N01AB02	NULL
N01AB03	NULL
N01AB04	NULL
N01AB05	NULL
N01AB06	NULL
N01AB07	NULL
N01AF01	NULL
N01AF02	NULL
N01AG01	NULL
N01AH02	NULL
N01AH03	NULL
N01AH04	NULL
N01AH05	NULL
N01AH51	NULL
N01AX01	NULL
N01AX03	NULL
N01AX04	NULL
N01AX05	NULL
N01AX07	NULL
N01AX11	NULL
N01AX13	NULL
N01AX14	NULL
N01AX15	NULL
N01AX63	NULL
N01BA01	NULL
N01BA02	NULL
N01BA03	NULL
N01BA04	NULL
N01BA05	NULL
N01BA52	NULL
N01BB04	NULL
N01BB05	NULL
N01BB06	NULL
N01BB07	NULL
N01BB08	NULL
N01BB09	NULL
N01BB10	NULL
N01BB20	NULL
N01BB53	NULL
N01BB54	NULL
N01BB57	NULL
N01BB58	NULL
N01BC01	NULL
N01BX01	NULL
N01BX02	NULL
N01BX03	NULL
N01BX04	NULL
N02AA03	NULL
NO2AA02	NULL
N02AA04	NULL
N02AA08	NULL
N02AA09	NULL
N02AA10	NULL
N02AA51	NULL
N02AA58	NULL
N02AA59	NULL
N02AA79	NULL
N02AB01	NULL
N02AB02	NULL
N02AB03	NULL
N02AB52	NULL
N02AB72	NULL
N02AC01	NULL
N02AC03	NULL
N02AC04	NULL
N02AC05	NULL
N02AC52	NULL
N02AC54	NULL
N02AC74	NULL
N02AD01	NULL
N02AD02	NULL
N02AF01	NULL
N02AF02	NULL
N02AG01	NULL
N02AG02	NULL
N02AG03	NULL
N02AG04	NULL
N02AX01	NULL
N02AX03	NULL
N02AX52	NULL
N02BA02	NULL
N02BA03	NULL
N02BA04	NULL
N02BA05	NULL
N02BA06	NULL
N02BA07	NULL
N02BA08	NULL
N02BA09	NULL
N02BA10	NULL
N02BA11	NULL
N02BA12	NULL
N02BA14	NULL
N02BA15	NULL
N02BA16	NULL
N02BA51	NULL
N02BA55	NULL
N02BA57	NULL
N02BA59	NULL
N02BA65	NULL
N02BA71	NULL
N02BA75	NULL
N02BA77	NULL
N02BA79	NULL
N02BE03	NULL
N02BE04	NULL
N02BE05	NULL
N02BE51	NULL
N02BE53	NULL
N02BE54	NULL
N02BE71	NULL
N02BE73	NULL
N02BE74	NULL
N02BB01	NULL
N02BB03	NULL
N02BB04	NULL
N02BB05	NULL
N02BB51	NULL
N02BB52	NULL
N02BB53	NULL
N02BB54	NULL
N02BB71	NULL
N02BB72	NULL
N02BB73	NULL
N02BB74	NULL
N02BG02	NULL
N02BG03	NULL
N02BG04	NULL
N02BG05	NULL
N02BG06	NULL
N02BG07	NULL
N02BG08	NULL
N02CA01	NULL
N02CA02	NULL
N02CA04	NULL
N02CA07	NULL
N02CA51	NULL
N02CA72	NULL
N02CB01	NULL
N02CC01	NULL
N02CC02	NULL
N02CC03	NULL
N02CC04	NULL
N02CC05	NULL
N02CC06	NULL
N02CC07	NULL
N02CX01	NULL
N02CX02	NULL
N02CX03	NULL
N02CX05	NULL
N02CX06	NULL
N03AA01	NULL
N03AA03	NULL
N03AA04	NULL
N03AA30	NULL
N03AB01	NULL
N03AB03	NULL
N03AB04	NULL
N03AB05	NULL
N03AB52	NULL
N03AB54	NULL
N03AC01	NULL
N03AC02	NULL
N03AC03	NULL
N03AD01	NULL
N03AD02	NULL
N03AD03	NULL
N03AD51	NULL
N03AF02	NULL
N03AF03	NULL
N03AG02	NULL
N03AG03	NULL
N03AG04	NULL
N03AG05	NULL
N03AG06	NULL
N03AX03	NULL
N03AX07	NULL
N03AX10	NULL
N03AX11	NULL
N03AX12	NULL
N03AX13	NULL
N03AX14	NULL
N03AX15	NULL
N03AX17	NULL
N03AX18	NULL
N03AX30	NULL
N04AA01	NULL
N04AA03	NULL
N04AA04	NULL
N04AA05	NULL
N04AA08	NULL
N04AA09	NULL
N04AA10	NULL
N04AA11	NULL
N04AA12	NULL
N04AB01	NULL
N04AB02	NULL
N04AC01	NULL
N04AC30	NULL
N04BA01	NULL
N04BA03	NULL
N04BA04	NULL
N04BA05	NULL
N04BA06	NULL
N04BB01	NULL
N04BC01	NULL
N04BC02	NULL
N04BC03	NULL
N04BC04	NULL
N04BC05	NULL
N04BC07	NULL
N04BC08	NULL
N04BC09	NULL
N04BD02	NULL
N04BX01	NULL
N04BX02	NULL
N04BX03	NULL
N05AA03	NULL
N05AA04	NULL
N05AA05	NULL
N05AA06	NULL
N05AA07	NULL
N05AB01	NULL
N05AB02	NULL
N05AB03	NULL
N05AB04	NULL
N05AB05	NULL
N05AB06	NULL
N05AB07	NULL
N05AB08	NULL
N05AB09	NULL
N05AB10	NULL
N05AC01	NULL
N05AC02	NULL
N05AC03	NULL
N05AC04	NULL
N05AD02	NULL
N05AD03	NULL
N05AD04	NULL
N05AD05	NULL
N05AD06	NULL
N05AD07	NULL
N05AD08	NULL
N05AD09	NULL
N05AE01	NULL
N05AE02	NULL
N05AE03	NULL
N05AE04	NULL
N05AF01	NULL
N05AF02	NULL
N05AF03	NULL
N05AF04	NULL
N05AF05	NULL
N05AG01	NULL
N05AG02	NULL
N05AG03	NULL
N05AH01	NULL
N05AH02	NULL
N05AH04	NULL
N05AK01	NULL
N05AL01	NULL
N05AL02	NULL
N05AL03	NULL
N05AL04	NULL
N05AL05	NULL
N05AL06	NULL
N05AL07	NULL
N05AX07	NULL
N05AX09	NULL
N05AX10	NULL
N05AX11	NULL
N05AX12	NULL
N05BA02	NULL
N05BA03	NULL
N05BA04	NULL
N05BA05	NULL
N05BA07	NULL
N05BA08	NULL
N05BA09	NULL
N05BA10	NULL
N05BA11	NULL
N05BA13	NULL
N05BA14	NULL
N05BA15	NULL
N05BA16	NULL
N05BA17	NULL
N05BA18	NULL
N05BA19	NULL
N05BA21	NULL
N05BA22	NULL
N05BA23	NULL
N05BA56	NULL
N05BB02	NULL
N05BB51	NULL
N05BC01	NULL
N05BC03	NULL
N05BC04	NULL
N05BC51	NULL
N05BD01	NULL
N05BE01	NULL
N05BX01	NULL
N05BX02	NULL
N05BX03	NULL
N05CA01	NULL
N05CA02	NULL
N05CA03	NULL
N05CA04	NULL
N05CA05	NULL
N05CA06	NULL
N05CA07	NULL
N05CA08	NULL
N05CA09	NULL
N05CA10	NULL
N05CA11	NULL
N05CA12	NULL
N05CA15	NULL
N05CA16	NULL
N05CA19	NULL
N05CA20	NULL
N05CA21	NULL
N05CA22	NULL
N05CA24	NULL
N05CB01	NULL
N05CB02	NULL
N05CC02	NULL
N05CC03	NULL
N05CC04	NULL
N05CC05	NULL
N05CD01	NULL
N05CD02	NULL
N05CD03	NULL
N05CD04	NULL
N05CD05	NULL
N05CD06	NULL
N05CD07	NULL
N05CD09	NULL
N05CD10	NULL
N05CD11	NULL
N05CD12	NULL
N05CD13	NULL
N05CE01	NULL
N05CE02	NULL
N05CE03	NULL
N05CF02	NULL
N05CF03	NULL
N05CM01	NULL
N05CM02	NULL
N05CM03	NULL
N05CM04	NULL
N05CM05	NULL
N05CM06	NULL
N05CM07	NULL
N05CM08	NULL
N05CM09	NULL
N05CM10	NULL
N05CM11	NULL
N05CM12	NULL
N05CM13	NULL
N05CM15	NULL
N05CM16	NULL
N05CM17	NULL
N05CX01	NULL
N05CX02	NULL
N05CX03	NULL
N05CX04	NULL
N05CX05	NULL
N05CX06	NULL
N06AA01	NULL
N06AA02	NULL
N06AA03	NULL
N06AA04	NULL
N06AA05	NULL
N06AA06	NULL
N06AA07	NULL
N06AA08	NULL
N06AA10	NULL
N06AA11	NULL
N06AA12	NULL
N06AA13	NULL
N06AA14	NULL
N06AA15	NULL
N06AA16	NULL
N06AA17	NULL
N06AA18	NULL
N06AA19	NULL
N06AA21	NULL
N06AA23	NULL
N06AB02	NULL
N06AB04	NULL
N06AB05	NULL
N06AB07	NULL
N06AB08	NULL
N06AB09	NULL
N06AB10	NULL
N06AF01	NULL
N06AF02	NULL
N06AF03	NULL
N06AF04	NULL
N06AF05	NULL
N06AF06	NULL
N06AG02	NULL
N06AG03	NULL
N06AX01	NULL
N06AX02	NULL
N06AX03	NULL
N06AX04	NULL
N06AX05	NULL
N06AX06	NULL
N06AX07	NULL
N06AX08	NULL
N06AX09	NULL
N06AX10	NULL
N06AX13	NULL
N06AX14	NULL
N06AX15	NULL
N06AX17	NULL
N06AX18	NULL
N06AX19	NULL
N06AX21	NULL
N06AX22	NULL
N06AX23	NULL
N06BA01	NULL
N06BA02	NULL
N06BA03	NULL
N06BA04	NULL
N06BA05	NULL
N06BA06	NULL
N06BA07	NULL
N06BA08	NULL
N06BA09	NULL
N06BC02	NULL
N06BX01	NULL
N06BX02	NULL
N06BX03	NULL
N06BX04	NULL
N06BX05	NULL
N06BX06	NULL
N06BX07	NULL
N06BX08	NULL
N06BX09	NULL
N06BX10	NULL
N06BX11	NULL
N06BX12	NULL
N06BX13	NULL
N06BX14	NULL
N06BX15	NULL
N06BX16	NULL
N06BX17	NULL
N06BX18	NULL
N06CA01	NULL
N06CA02	NULL
N06DA01	NULL
N06DA02	NULL
N06DA03	NULL
N06DA04	NULL
N06DX01	NULL
N06DX02	NULL
N07AA03	NULL
N07AA30	NULL
N07AA51	NULL
N07AB01	NULL
N07AB02	NULL
N07AX01	NULL
N07AX02	NULL
N07BA01	NULL
N07BA02	NULL
N07BA03	NULL
N07BB02	NULL
N07BB03	NULL
N07BB04	NULL
N07BC01	NULL
N07BC02	NULL
N07BC03	NULL
N07BC04	NULL
N07BC51	NULL
